% This Database was generated from ergane (http://www.travlang.com).   Copyright (C) 1999 Horst Eyermann (Horst@freedict.de)    This program is free software /  you can redistribute it and/or modify   it under the terms of the GNU General Public License as published by   the Free Software Foundation /  either version 2 of the License, or   (at your option) any later version.    This program is distributed in the hope that it will be useful,   but WITHOUT ANY WARRANTY /  without even the implied warranty of   MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the   GNU General Public License for more details. 


ADN ; DNA

repas ; meal

repasser ; iron /  iron clothes

reporter ; transport

repos ; calmness /  quietness ; calm /  quiet /  silence ; break /  intermission /  pause /  recess ; repose /  rest ; calmness /  composure

repoussant ; nasty

repousser ; chase away /  drive away /  expel ; condemn /  disapprove /  disapprove of /  rebuke ; refuse /  reject

reprendre ; censure /  criticize ; repay ; blame /  rebuke /  reproach /  reprove /  scold

reprise ; round

reproche ; reproach

reprocher ; blame /  rebuke /  reproach /  reprove /  scold

représentant ; delegate ; broker ; agent /  representative

représentatif ; typical

représentation ; presentation

représenter ; express ; play ; describe ; act for /  represent

requin ; shark

requérir ; need /  require

requête ; attempt /  effort

respect ; respect

respecter ; act on /  act upon /  follow /  observe ; respect

respectif ; respective

respiration ; respiration ; breath

respirer ; breathe

respondre ; answer /  reply /  respond

responsable ; accountable /  responsible

ressembler ; be similar /  resemble

ressentir ; feel /  sense

ressort ; spring

ressource ; means /  remedy /  resources

restaurant ; restaurant

restaurer ; fix /  repair

reste ; remainder ; remainder /  rest

rester ; remain /  stay /  stay over

rester en arrière ; be kept in /  be detained /  remain /  stay on

retarder ; adjourn /  delay /  postpone

retenir ; bridle /  check /  restrain ; conserve /  keep /  maintain /  preserve ; recall /  recollect /  remember ; book /  order /  reserve ; moderate ; book ; thunder

retirer ; abjure ; draw back /  withdraw

retomber ; droop /  hang ; lapse

retour ; return

retourner ; turn ; blend /  mingle /  mix /  shuffle ; turn /  turn around /  turn round

retraite ; pension /  retirement

retraité ; retired person

retrancher ; count down ; deduct /  take away ; cut off ; abstract /  take away ; subtract

revanche ; revenge /  vengeance

revenir ; come back /  return

revenir toujours sur la même chapitre ; always harp on the same string /  always harp on one string

revenir à ; cost

revenu ; income /  return

revoir ; see again ; revise

revolver ; revolver

revue ; magazine /  periodical /  revue

revêtir ; plaster ; put on ; cover /  overlay ; clothe /  dress

rez‐de‐chaussée ; ground‐floor

reçu ; receipt ; acknowledgement /  receipt

re retirer ; quit /  resign

rhinocéros ; rhino /  rhinoceros

rhododendron ; Alpenrose /  rhododendron

rhum ; rum

rhumatisme ; rheumatism

rhume ; catarrh ; cold

rhénan ; Rhineland

ricaner ; sneer

riche ; affluent /  rich /  wealthy /  well‐off

richesse ; luxury ; abundance /  affluence /  wealth

ride ; furrow /  wrinkle

rideau ; curtain

rider ; furrow /  wrinkle

ridicule ; ridiculous

rien ; nothing ; not an ace

rigide ; rigid /  stiff

rigoureux ; rigourous /  stringent

rimarquer ; notice

rime ; rhyme

rincer ; gargle /  rinse

rire ; laugh

risque ; hazard /  risk

risquer ; hazard /  risk /  venture

risque d'accident ; accident risk

rite ; rite

rival ; rival

rivaliser ; compete /  rival

rivet ; rivet

rivière ; river

rivière Again ; Again River

rivière Atabasca ; Athabasca

rivière Bujeault ; Bujeault River

rivière Harricana ; Harricanaw River

rivière Joir ; Joir River

rivière Kachekaosipou ; Kachekaosipou River

rivière Kedgwick ; North Branch Kedgwick River

rivière Madawaska ; Madawaska River

rivière Magusi ; Magusi River

rivière Mercereau ; Mercereau River

rivière Napetipi ; Napetipi River

rivière Natashquan ; Natashquan River

rivière Natashquan Est ; East Natasquan River

rivière Patapédia ; Patapedia River

rivière Piscapecassy ; Piscapecassy River

rivière Rigaud ; Rigaud River

rivière Rigaud Est ; East Rigaud River

rivière Rimouski ; Rimouski River

rivière Ristigouche ; Restigouche River

rivière Saguenay ; Saguenay River

rivière Saint‐Augustin ; Saint Augustin River

rivière Saint‐François ; Saint Francis River

rivière Saint‐Jean ; Saint John River

rivière Saint‐Paul ; Saint Paul River

rivière Saskachewan Nord ; North Saskatchewan /  North Saskatchewan River

rivière Saskachewan Sud ; South Saskatchewan /  South Saskatchewan River

rivière Turcotte ; Turcotte River

rivière Verte ; Green River

rivière des Outaouais ; Ottawa River

rivière de la Paix ; Peace River

rivière du Détour ; Detour River

rivière du Petit Mécatina ; Little Mecatina River

rivière à la Pluie ; Rainy River

riz ; rice

robe ; dress /  gown /  robe

robinet ; faucet /  tap

robot ; robot

robuste ; firm /  robust /  sturdy

roc ; rock

rocher ; rock ; boulder

roder ; wear down /  wear off /  wear out

roi ; king

roman ; novel

romantique ; romantic

rompre ; break

rond‐point ; plaza /  square /  public square

rond ; circle

ronde ; round ; circle

ronfler ; snore

ronger ; gnaw /  nibble

ronronner ; buzz /  hum

rose ; pink ; rose

roseau ; cane /  reed

rosse ; cat

rosser ; thresh

rossignol ; nightingale

rosée ; dew

roter ; belch /  burp

roue ; wheel

rouge ; red

rougir ; blush

rouille ; rust

rouleau ; roll

rouler ; roll ; bilk /  cheat /  take in

roulure ; slut /  trollop

roumain ; Romanian /  Rumanian

rouspéter ; oppose

route ; track ; road /  route /  way ; highway

route aérienne ; airway

routine ; routine

royal ; regal /  royal

royaume ; kingdom

ruban ; ribbon

rubidium ; rubidium

rubrique ; column /  header

ruche ; beehive

rucher ; apiary

rude ; coarse /  crude /  harsh

rue ; street

ruelle ; alley /  lane

ruine ; ruin

ruiner ; ruin

ruisseau ; stream

ruisseau Armstrong ; Armstrong Creek

ruisseau Benedict ; Benedict Brook

ruisseau Burwash ; Burwash Creek

ruisseau Cedar ; Cedar Brook

ruisseau Chanion ; Chanion Brook

ruisseau Chisholm ; Chisholm Brook

ruisseau Julian ; Julian Creek

ruisseau McDiarmid ; McDiarmid Creek

ruisseau Pollard ; Pollard Brook

ruisseau Pontiac ; Pontiac Creek

ruisseau Pontleroy ; Pontleroy Creek

ruisseau Prices ; Prices Brook

ruisseau Quigley ; Quigley Brook

ruisseau Saugeen ; Saugeen Creek

ruisseau Sisson ; Sisson Brook

ruisseau States Nord ; North Branch States Brook

ruisseau Sunday ; Sunday Creek

ruisseau Sunrise ; Sunrise Creek

ruisseau Teed ; Teed Brook

ruisselet ; brooklet /  rill /  rivulet

ruminer ; chew the cud

rupture ; interruption

rural ; rural

russe ; Russian ; Russian /  Russian language

rustique ; rural ; crude /  raw /  rough ; coarse /  crude /  harsh

rusé ; clever /  cunning /  sly /  smart

rythme ; rhythm

rythmique ; rhythmic

rythmé ; rhythmic

réaction ; reaction

réaliser ; accomplish /  achieve /  act out ; accomplish /  achieve /  keep /  observe /  perform ; produce

réalité ; reality ; actuality

récemment ; recently

réception ; acceptance /  admission ; reception room /  reception‐room

récif ; reef

réciproque ; mutual /  reciprocal

récit ; account /  narrative /  story /  tale

réciter ; recite

réclame ; ad /  advert /  advertisement

réclamer ; need /  require

récolte ; harvest

récolter ; harvest

récompense ; premium /  prize

récompenser ; compensate /  reward

réconforter ; encourage

récréation ; amusement /  fun ; distraction /  diversion

récupérer ; recover

récurer ; rub

rédaction ; editorial office

rédiger ; edit

réduction ; abatement /  curtailment /  retrenchment ; abatement /  discount /  rebate

réduction de texte ; abridgement /  abstract /  resumé /  summery

réduire ; reduce

réduire en miettes ; crush /  shatter /  smash

réel ; actual /  practical /  real ; true

réellement ; genuinely /  indeed /  really /  truly

réfectoire ; dining‐room

réflexion ; notice /  observation

réfléchir ; think /  think about /  reflect on ; reflect

réformer ; release ; improve ; repair ; reform

réfrigérateur ; refrigerator

réfugié ; refugee

réfuter ; refute

régaler ; entertain /  treat

régime ; régime

régiment ; regiment

région ; region

réglage ; agreement

réglement ; acquittal /  payment /  full payment ; regulations /  rules

régler ; conduct /  direct /  guide /  head /  lead ; arrange /  put in order /  tidy ; regulate

régner ; control /  govern /  restrain /  rule

régulier ; even /  regular

régulièrement ; regularly

réjouir ; make glad

répandre ; distribution ; scatter ; draw out /  drive out /  express /  utter /  give utterance to /  pull out ; release

réparer ; fix /  repair

répartir ; distribute

répercussion ; echo

répersussion ; consequence /  consistency

répondre ; reduce the price

réponse ; answer /  reply

réponse d'un problème ; solution

réprimander ; blame /  rebuke /  reproach /  reprove /  scold

réprimer ; brake ; bridle /  check /  restrain ; detain /  hold back /  retain ; suppress

république ; republic

répulsion ; abhorrence /  abomination /  horror

réputation ; fame /  renown ; fame /  hearsay /  renown /  repute /  rumor /  rumour ; fame /  glory /  renown ; fame /  renown ; reputation

répéter ; repeat

réseau ; net /  network

réserve ; box‐room /  storage room ; pantry ; supply

réserver ; reserve

réserver pour ; destine for

résigner ; abandon /  give up /  resign /  renounce

résine ; resin

résistance ; resistance

résistance à l'air ; air‐resistance

résister ; resist /  withstand

résolution ; decision ; motion /  resolution

résonner ; echo /  resound ; sound

résoudre ; dissolve ; transform

résultat ; conclusion /  effect /  result ; result

résulter ; result

résumer ; abstract /  summarize

rétorquer ; reduce the price

réunion ; assemblage /  gathering /  meeting

réunir ; connect /  join ; assemble /  congregate /  gather /  meet

réussir ; succeed

réveil‐matin ; alarm /  alarmclock

réveil ; alarm /  alarmclock

réveiller ; arouse /  wake /  awaken /  wake up

réviser ; revise

révolte ; mutiny /  rebellion /  revolt

révolution ; revolution

révéler ; develop /  reveal

règle ; regulation /  rule

règne ; control /  reign /  rule ; realm /  state ; kingship /  royalty

râler ; growl /  grumble

râper ; grate /  rasp

râteau ; rake

râteler ; rake

rêve ; dream /  daydream ; dream

rêver ; dream

rêver éveillé ; dream /  daydream /  fancy

rôder ; roam /  wander

rôle ; part /  role /  rôle

rôtir ; roast /  toast

svp ; please

sa ; his ; its ; her

sable ; sand

sabot ; hoof

sacoche ; purse /  wallet

sacré ; holy /  sacred

sac tyrolien ; backpack /  knapsack

sagace ; acute /  astute /  shrewd

sage‐femme ; midwife /  obstetrician ; midwife

sage ; prudent /  reasonable /  sensible ; sagacious /  sage /  wise

sagement ; with wisdom /  wisely

sagesse ; wisdom

saillant ; noteworthy /  remarkable

sain ; healthy /  well

saint ; holy /  sacred

saisir ; scald ; clutch /  grab /  grasp /  grip /  seize ; capture /  catch /  grapple ; confiscate ; find /  notice /  perceive ; catch /  hit /  run across /  strike

saison ; autumn ; season

salade ; salad

salaire ; salary /  wage /  wages

salami ; salami

sale ; dirty /  filthy /  nasty /  soiled /  unclean

saler ; pickle ; salt

salir ; slander ; soil /  spot /  stain ; soil

salive ; saliva

salle ; chamber /  room

salle de bains ; bathroom

salle à manger ; dining‐room

salon ; lounge /  parlour /  salon /  sitting‐room

salon de réception ; reception room /  reception‐room

saluer ; greet /  salute

salut ; greeting ; salvage /  salvation /  recovery

salutation ; greeting

samedi ; Saturday

sanction ; sanction

sandale ; sandal

sandwich ; sandwich

sang ; blood

sanglier ; wild boar

sanglot ; hiccup

sangsue ; leech

sans ; without

sans doute ; no doubt /  undoubtedly

sans détour ; directly /  straigh ahead

sans faute ; absolutely /  definitely /  without fail

santé ; health

saper ; subvert /  undermine

sapin ; fir

sarcler ; weed /  weed out

sardine ; sardine

satellite ; satellite

satisfaire ; meet with /  satisfy

satisfaisant ; acceptable ; satisfactory

satisfait ; contented /  pleased /  satisfied

saturer ; saturate

sauce ; gravy /  sauce

saucisse ; sausage

sauf ; apart from /  besides /  except /  except for

sauge ; sage

saule ; willow

saumon ; salmon

saut ; jump /  leap

sauter ; jump /  leap /  spring

sauterelle ; grasshopper /  locust ; grasshopper

sauter à l'abordage ; hitch on /  hook on

sautiller ; hop

sauvage ; savage /  wild

sauver ; keep /  save /  rescue

savant ; scholar

savoir ; know /  know how

savon ; soap

savourer ; relish

savoureux ; nice /  tasty ; delicious

saxophone ; saxophone

scandale ; commotion /  scandal

scandinave ; Scandinavian

scaphandre autonome ; scuba

scarabée ; beetle

sceau ; seal

sceller ; seal

sceptique ; skeptical

schah ; shah

schéma ; model /  pattern /  scheme

scie ; saw

science ; science

scier ; saw

scintiller ; flicker ; flare /  flare up

score ; point

scorpion ; scorpion

scénario ; script

scène ; scene

se ; mutually /  reciprocally

seau ; bucket /  pail

sec ; dry

second ; second

secondaire ; accessory /  adventitious /  secondary

seconde ; second

secouer ; agitate /  shake /  shock

secourir ; abet /  aid /  assist /  help ; accomodate /  aid /  assist /  help

secours ; first aid

secret ; secret

secrétaire ; secretary

secte ; sect

secteur ; sector

section ; section

sectionner ; dissect

seigle ; rye

seigneur ; nobleman

seigneurie ; fief ; excellency /  majesty

sein ; bosom /  breast /  chest ; bosom

seize ; sixteen

sel ; salt

selle ; saddle

selon ; according to ; according as /  according to /  as /  by

semaine ; week

semblable ; fellow‐creature /  neighbour ; like /  alike /  similar

sembler ; appear /  appear to be /  seem

semelle ; sole

semence ; seed ; sperm

semer ; sow

sens ; meaning /  sense ; sense

sensible ; accessible /  impressible /  sensitive ; charitable /  merciful

sensé ; sagacious /  sage /  wise

sentence ; maxim /  proverb ; adjudication /  verdict

sentier ; path

sentiment ; sentiment ; feel /  feeling /  sensation

sentinelle ; sentry

sentir ; smell ; give off an odour /  reek /  smell ; feel /  grope ; feel /  sense

sept ; seven

septembre ; September

septique ; infected /  septic

serbe ; Serb

serein ; serene /  untroubled

sergent ; sergeant

serment ; oath

sermon ; sermon

sermonner ; admonish /  scold ; blame /  rebuke /  reproach /  reprove /  scold ; reproach /  rebuke /  reprove /  scold

serpe ; sickle

serpent ; serpent /  snake

serrer ; put away /  stow ; lock up /  shut up ; press /  press firmly ; press /  oppress /  squeeze ; strech /  wind up ; fasten /  tighten /  turn /  turn on

serrer plus fort ; press /  press firmly

serrure ; lock

servage ; serfdom /  servitude

servante ; maid /  servant

serveur ; waiter

serviable ; kind /  obliging

service ; favor /  favour ; function /  job /  office /  post ; section ; crockery set ; service

serviette ; napkin ; towel

serviette de table ; napkin

servir ; serve

serviteur ; boy /  servant

session ; session

seuil ; sill /  threshold

seul ; alone /  only /  sole /  solitary

seulement ; exclusively /  just /  only

sexe ; sex

se bagarrer ; be at loggerheads /  tussle

se baigner ; bathe /  have a bath

se battre ; be at loggerheads /  tussle

se conduire ; behave /  conduct oneself

se conformer ; abide by

se coucher ; go to bed ; lie down

se disputer ; argue /  dispute ; quarrel /  wrangle

se douter de ; conjecture /  surmise

se dresser ; stand

se débattre ; flounder /  struggle /  writhe

se délecter ; relish

se démener ; flounder /  struggle /  writhe ; aim /  attempt /  endeavour /  take steps /  undertake ; strive for

se déplacer ; go ; move ; go /  ride /  travel

se dépêcher ; go fast /  hurry /  rush

se déshabiller ; undress /  strip

se dévouer ; abnegate /  deny oneself

se faner ; fade /  wither

se fatiguer ; get tired

se fier ; have faith /  have faith in /  trust

se fier à ; have faith /  have faith in /  trust ; confide /  have confidence in /  trust /  entrust

se lamenter ; lament /  wail

se lever ; wake /  wake up

se marier ; marry /  be married /  get married

se masturber ; masturbate

se mettre d'accord ; come to an agreement

se mettre en tranvers ; oppose

se mettre en travers ; block /  blockade

se mettre à l'abri ; shelter

se mettre à l'abri de ; protect from /  ward off

se méfier ; distrust /  suspect

se perdre ; be lost /  get lost

se plaindre ; complain

se porter ; fare

se promener ; go for a walk /  stroll

se précipiter ; race /  run

se quereller ; quarrel /  wrangle

se racornir ; shrink /  shrivel up

se rappeler ; recall /  recollect /  remember

se ratatiner ; shrink /  shrivel up

se recommander ; recommend oneself

se relâcher ; relax

se rendre compte ; descry /  perceive

se repentir ; repent

se reposer ; repose /  rest

se retirer ; retire ; retreat

se retrancher ; give as an excuse /  pretend ; shelter

se réfugier ; emigrate ; take refuge

se réjouir ; enjoy oneself /  have a good time

se réserver ; abstain

se résigner ; acquiesce /  resign oneself

se résoudre à ; compose /  conclude /  dispatch /  settle

se réveiller ; wake /  wake up

se révolter ; rebel /  revolt

se servir de ; employ /  use /  make use of

se soucier de ; care /  see /  take care /  worry ; care about /  take care of

se soulever ; ascend /  get up /  go up /  lift /  rise /  arise

se souvenir ; recall /  recollect /  remember

se suicider ; commit suicide /  kill oneself

se surveiller ; control oneself

se taire ; be quiet

se terminer ; end /  come to an end /  end up /  expire

se tromper ; err /  make a mistake

se trouver ; be found /  be located /  find oneself

shah ; shah

shérif ; sheriff

si ; accordingly /  so /  then /  therefore ; certainly /  indeed /  rather /  surely ; yes ; if /  provided that ; as /  so /  that ; so ; questionparticle /  if /  either /  whether

siamois ; Siamese ; Thai

sibérien ; Siberian

sicilien ; Sicilian

sida ; AIDS

siffler ; whistle ; hiss

sifflet ; whistle

signal ; mark /  sign /  signal /  token

signaler ; draw attention ; signal

signature ; signature

signe ; character /  mark /  sign /  signal /  token

signer ; sign

signification ; meaning /  sense ; meaning

signifier ; imply /  mean /  signify

silencieux ; noiseless ; silent

silex ; flint /  gravel

silhouette ; outline /  silhouette

sillon ; slot ; furrow /  wrinkle

simple ; simple /  straightforward

simulacre ; mockery

sincérité ; sincerity

sincère ; above‐board /  sincere

singaporien ; Singaporean

singe ; ape /  monkey

singulier ; bizarre /  odd /  weird ; extraordinary /  formidable ; curious /  interesting /  quaint ; odd /  peculiar /  strange

sinistre ; accident ; damage ; menacing /  threatening ; suspicious ; horrible

sirop ; syrup

sirène ; alarm

situation ; circumstances /  condition /  situation

situer ; identify ; locate /  place ; cause /  cause to take place

sitôt ; at once /  immediately /  just /  right away /  right now

six ; six

siècle ; centennial /  century

siège ; chair ; seat ; siege

sièger ; sit

ski ; ski

slave ; Slavic

slavon ; Slavonian

slip ; briefs

slip de bain ; swimming trunks

slovaque ; Slovak

slovène ; Slovenian

sobre ; abstemious /  sober /  staid /  temperate

social ; social

socialisme ; socialism

société ; society

sodium ; sodium

soie ; silk

soif ; thirst

soigner ; attend /  nurse /  tend to ; care for /  cure /  treat ; look after

soin ; care /  concern

soir ; evening

soirée ; evening

soit ; agreed /  okay ; that is

soit soit ; either ... or

soixante‐dix ; seventy

soixante ; sixty

soixantième ; sixtieth

sol ; ground /  soil

soldat ; pawn /  soldier

solde ; balance

sole ; sole

soleil ; sun

solennel ; ceremonious /  solemn

solidaire ; standing together

solidarité ; solidarity

solide ; firm /  solid

solliciter ; attract /  draw ; attract ; beseech

somalien ; Somali /  Somalian

sombre ; bleak /  dismal /  dreary /  gaunt /  miserable /  sad /  somber ; bleak /  dark /  dismal /  dreary ; dark /  dim ; dismal /  dreary ; bleak /  dismal /  dreary /  gaunt /  melancholy ; desolate /  dismal /  dreary /  gaunt /  gloomy /  mournful

sommation ; admonition /  exhortation ; exhortation /  warning

somme ; amount /  sum

sommeil ; sleep

sommer ; admonish /  scold ; command /  order /  tell

sommet ; acme ; peak /  point /  tip /  summit ; summit /  surface /  top

son ; his ; sound ; its ; her

songe ; dream

songer ; meditate /  think to oneself ; dream /  daydream /  fancy ; dream

sonner ; sound ; peal /  ring ; give a ring /  ring /  ring the bell

sonner à la porte ; give a ring /  ring /  ring the bell

sonnette ; bell /  little bell ; bell

sonore ; loud ; sonorous /  sonourous

sorcier ; enchanter /  magician /  sorcerer /  warlock /  wizard

sorcière ; witch

sort ; destiny /  fate /  fortune /  luck ; kind /  sort

sorter ; exit /  go out

sortie ; exit /  way out ; expenses

sortilège ; sorcery

sortir de ; spring /  well up

sot ; fool ; dull /  stupid ; addled /  foolish /  stupid ; fool

souci ; sadness ; marigold ; care /  concern

soucoupe ; saucer

soudain ; abrupt /  sudden

soudainement ; all of a sudden /  suddenly

soudanais ; Sudanese

souder ; solder

souffle ; inspiration ; breath

souffler ; blow

souffler sur ; fan /  blow

souffrir ; abide /  bear /  endure /  put up with /  suffer

soufre ; brimstone /  sulphur

souhait ; ambition /  aspiration ; desire /  want /  wish

souhaiter ; desire /  wish ; hope

souiller ; soil /  spot /  stain ; soil

soulager ; facilitate

soulever ; lever /  lift /  raise

soulier ; shoe

souligner ; accent /  accentuate /  stress ; accent /  accentuate /  emphasize

soumettre ; subdue /  subjugate /  submit

soupe ; soup

souper ; evening meal /  supper

soupirant ; adorer /  worshipper

soupirer ; ache /  long for /  yearn

souple ; elastic ; flexible

souplesse ; manageability /  tractability

soupçonner ; suspect

source ; fountain /  source /  spring

sourcil ; brow /  eyebrow

sourd‐muet ; deaf and dumb

sourd ; deaf

sourire ; smile

souris ; mouse

sous‐entendu ; overtone

sous ; below /  beneath /  under /  underneath

soustraction ; subtraction

soustraire ; subtract

soutenir ; abide /  endure

souterrain ; underground

soutien‐gorge ; bra

souvenir ; keepsake /  memento /  souvenir ; recollection

souvent ; frequently /  often /  regularly

souverain ; of paramount importance /  predominating ; sovereign

soyeux ; silk /  silk‐ /  silken /  of silk

speaker ; announcer ; chairman /  president

spectacle ; appearance /  aspect /  look /  sight /  view ; exterior ; look ; show /  spectacle

spectacle de variété ; variety entertainment

spectateur ; spectator

sperme ; sperm

sphère ; ball /  sphere

spirale ; spiral

spirituel ; lively /  witty

splendeur ; pomp /  splender

splendide ; lovely

spontané ; spontaneous

sport ; sport

spécial ; particular /  special

spécialement ; particularly /  specially

spécialité ; branch /  compartment /  department /  pigeonhole /  section /  speciality

spécimen ; sample /  specimen

squelette ; skeleton

stable ; stable

stade ; stadium /  stage ; stadium

stagner ; stagnate

stand ; barn /  shed /  stand

standard ; normal

star ; celebrity /  star

station ; stage /  station /  stop

stationner ; park

statue ; statue

stature ; stature

statut ; by‐laws /  statute /  regulations

steppe ; moor /  steppe

stimuler ; rouse /  stimulate /  stir up

stock ; stock

store ; roller‐blind

store vénitien ; Venetian blind

stratégie ; strategy

strict ; tight

strident ; shrill

strontium ; strontium

strophe ; verse

structure ; structure

stuc ; plaster

studio ; atelier /  studio /  work‐room /  workshop ; studio

stupeur ; alarm /  consternation

stupide ; idiotic ; addled /  foolish /  stupid

stupidement ; stupidly

stupéfaction ; alarm /  consternation

stupéfait ; aghast /  taken aback /  upset

stupéfiant ; drug

stupéfier ; alarm /  appal /  dismay /  puzzle

style ; style

stylo ; fountain‐pen /  fountain pen

stylo à bille ; ballpoint pen ; ballpoint /  ball‐point pen

suave ; gentle /  soft /  sweet /  tender ; gentle /  mild

subir ; go through /  live to see ; abide /  bear /  endure /  put up with /  suffer

subit ; abrupt /  sudden

subitement ; all of a sudden /  suddenly

subordonné ; dependent ; subordinate

substance ; matter /  stuff /  substance

substituer ; replace /  substitute

subtil ; subtle

subvention ; subsidy

suc ; juice /  sap

successeur ; offspring /  successor

succession ; order

successivement ; in turn ; at a strech /  for ... together /  on end ; consecutively

succulent ; nice /  tasty

succursale ; affiliate /  affiliation /  branch

succès ; achievement /  success

sucer ; suck

sucette ; comforter /  baby's comforter /  dummy /  pacifier

sucre ; sugar

sucré ; gentle /  soft /  sweet /  tender

sud‐africain ; South African

sud‐américain ; South American

sud ; south

suer ; sweat

sueur ; perspiration /  sweat

suffire ; suffice

suffisamment ; enough /  quite /  rather /  sufficiently

suffisant ; enough /  sufficient

suffixe ; extension /  suffix

suffoquer ; choke /  quell /  suffocate /  suppress

suggérer ; advance /  suggest

suie ; soot

suisse ; Swiss

suite ; suite /  train ; continuation ; consequence /  consistency ; result ; adherents /  disciples /  followers /  following /  party /  supporters ; consequence ; order

suivant ; hind /  hindmost ; next ; following /  next

suivre ; act on /  act upon /  follow /  observe ; follow

sujet ; subject ; theme /  topic /  subject

sujet secondaire ; subsidiary subject

summon ; summit /  surface /  top

superbe ; delightful /  lovely

superficiel ; shallow /  superficial ; superficial

superstition ; superstition

supplément ; adjunct

supplémentaire ; additional ; another /  one more

supporter ; abide /  endure

supposer ; guess /  presume /  suppose /  surmise

supposé que ; supposing that

supprimer ; exterminate /  wipe out ; do away with /  get rid of /  remove ; cross out /  strike out ; liquidate ; abjure /  abolish /  abrogate /  annul /  cancel /  remit

suprème ; superior

supérieur ; superior ; upper

sur ; above /  on top /  overhead /  upstairs ; on /  upon ; at /  beside /  with

sureau ; elder

surface ; surface

surgir ; appear /  emerge /  perform ; get up /  rise /  stand /  stand up

surinamien ; Surinamese

surmonter ; exceed /  surpass ; go beyond ; defeat /  win over

surplombant ; superior

surprendre ; surprise

surprise ; surprise

sursauter ; start ; get up /  rise /  stand /  stand up

sursis ; adjournment /  delay

surtout ; above all /  especially ; above all /  especially /  chiefly /  mainly /  principally ; particularly /  specially ; chiefly

surveiller ; advert /  pay attention /  pay attention to /  watch out for ; audit /  check /  check up on /  supervise /  verify ; control /  govern /  restrain /  rule

sur la recommandation de ; on the recommendation of

suspecter ; suspect

suspendre ; discharge /  dismiss /  fire /  sack ; hang ; adjourn /  delay /  postpone ; postpone

sussurer ; rustle /  swish

suédois ; Swedish

symbole ; symbol

sympa ; sympathetic

sympathie ; sympathy

sympathique ; sympathetic

syndicat ; labour‐union /  trade‐union /  syndicate

syndicat agricole ; farmers' union

syrien ; Syrian

système ; system

s'abaisser ; descend /  go down ; abate /  settle ; abate /  decrease /  diminish /  drop /  fall ; abase oneself ; descend /  get off /  go down

s'abattre ; drop /  fall ; abate /  settle ; land

s'abonner ; subscribe /  subscribe to

s'aboucher avec ; contact

s'abouler ; come

s'abriter ; hide /  hide oneself ; shelter ; protect from /  ward off

s'absenter ; absent oneself

s'abstenir ; abstain

s'abstenir de ; abstain from ; avoid /  evade

s'abâtardir ; degenerate

s'abêtir ; become dull

s'abîmer ; break down ; perish

s'acclimater ; acclimate /  acclimatize

s'accorder ; accord /  agree

s'accoter ; lean

s'accoupler ; associate /  come together /  join /  pool ; have sexual intercourse /  mate

s'accoutumer ; accustom oneself /  get used

s'accoître ; accrue /  increase

s'accroître ; accrue /  grow

s'acidifier ; acidify /  sour /  grow sour

s'adapter ; accomodate oneself /  adapt /  adapt oneself

s'adjoindre des aides ; recruit

s'adosser ; lean

s'adresser à ; break down upon /  make for ; apply to

s'affilier ; accede /  affiliate

s'agenouiller ; kneel

s'agglutiner ; stick

s'aigrir ; acidify /  sour /  grow sour

s'ajuster ; accomodate oneself /  adapt /  adapt oneself

s'allumer ; burn /  catch /  flash on /  strike /  take fire

s'amoindrir ; abate /  decrease /  diminish /  drop /  fall

s'amuser ; frolic

s'apercevoir ; descry /  perceive

s'apitoyer ; have compassion on /  pity

s'appeler ; be called

s'approcher ; advance /  come close /  come closer /  come on

s'arrêter ; halt /  come to a halt /  stop

s'arrêter à ; call at

s'attabler ; draw up to the table /  sit down to table

